chain,track,source,model,seed,reporting_budget,model_value_capture,oracle_value_capture,oracle_gap_value_capture,headroom_kusd,total_observed_late_value_kusd,group_model_macro_value_capture,group_oracle_macro_value_capture,group_oracle_gap_macro_value_capture,group_model_pooled_value_capture,group_oracle_pooled_value_capture
cotton,a,nbfnet,NBFNet,0,500,0.0504347709692848,0.6849306007221032,0.6344958297528184,1239476.8207999999,1953483.006,0.18392787516091158,0.8216078270596651,0.6376799518987536,0.20683755310846044,0.7149755695392006
cotton,a,nbfnet,NBFNet,1,500,0.04866672426020583,0.6849306007221032,0.6362638764618974,1242930.67,1953483.006,0.19923503706620532,0.8216078270596651,0.6223727899934598,0.14499211804251544,0.7149755695392006
cotton,a,nbfnet,NBFNet,2,500,0.04877994623312326,0.6849306007221032,0.6361506544889799,1242709.4928,1953483.006,0.18329261302990776,0.8216078270596651,0.6383152140297574,0.1360166843447831,0.7149755695392006
cotton,a,nbfnet,NBFNet,3,500,0.05816484169609408,0.6849306007221032,0.6267657590260092,1224376.259,1953483.006,0.17075253670906113,0.8216078270596651,0.6508552903506042,0.14312377662936265,0.7149755695392006
cotton,a,nbfnet,NBFNet,4,500,0.052244371968700916,0.6849306007221032,0.6326862287534023,1235941.796,1953483.006,0.16476774640224193,0.8216078270596651,0.6568400806574233,0.12441545058416545,0.7149755695392006
cotton,b1,cpu,historical_logistic_structural,,50,0.01855174852729479,1.0,0.9814482514727052,46465.115599999976,47343.41879999998,0.6894387584324683,0.9696108610381701,0.28017210260570197,0.9188150222898566,0.9717396623667576
cotton,b1,cpu,upstream_capacity,,50,0.025774661630477785,1.0,0.9742253383695222,46123.158199999976,47343.41879999998,0.5866523068287135,0.9696108610381701,0.3829585542094567,0.10259441593178739,0.9717396623667576
cotton,b1,kge,RotatE,0,50,0.8861533464076746,1.0,0.11384665359232538,5389.889799999983,47343.41879999998,0.6674650381276911,0.9696108610381701,0.3021458229104791,0.1133512014134476,0.9717396623667576
cotton,b1,kge,RotatE,1,50,0.8925814119701895,1.0,0.10741858802981052,5085.563199999982,47343.41879999998,0.6629916781262893,0.9696108610381701,0.3066191829118808,0.9210842500457529,0.9717396623667576
cotton,b1,kge,RotatE,2,50,0.09211647807741342,1.0,0.9078835219225866,42982.30979999997,47343.41879999998,0.606443862121965,0.9696108610381701,0.363166998916205,0.11086825018221966,0.9717396623667576
cotton,b1,kge,RotatE,3,50,0.058522385375346014,1.0,0.941477614624654,44572.76899999998,47343.41879999998,0.5909918006582227,0.9696108610381701,0.3786190603799476,0.1073866553971806,0.9717396623667576
cotton,b1,kge,RotatE,4,50,0.09525519099182593,1.0,0.9047448090081741,42833.712399999975,47343.41879999998,0.5353277500261904,0.9696108610381701,0.4342831110119797,0.13125403186978973,0.9717396623667576
cotton,b1,nbfnet,NBFNet,0,50,0.056719063981074416,1.0,0.9432809360189256,44658.144399999976,47343.41879999998,0.682448093402231,0.9696108610381701,0.2871627676359392,0.9017924577935215,0.9717396623667576
cotton,b1,nbfnet,NBFNet,1,50,0.09903921851963936,1.0,0.9009607814803606,42654.56359999998,47343.41879999998,0.6387019266380941,0.9696108610381701,0.330908934400076,0.10747984258373841,0.9717396623667576
cotton,b1,nbfnet,NBFNet,2,50,0.054781185341857934,1.0,0.9452188146581421,44749.89019999998,47343.41879999998,0.6699815841793535,0.9696108610381701,0.2996292768588166,0.9096387859509633,0.9717396623667576
