threshold_kusd,chain,task,candidate_count,positive_count,base_rate,candidate_key_sha256,positive_key_sha256,candidate_overlap_vs_100_intersection,candidate_overlap_vs_100_left_only,candidate_overlap_vs_100_reference_only,candidate_overlap_vs_100_union,candidate_overlap_vs_100_jaccard,candidate_overlap_vs_100_retention_vs_reference,positive_overlap_vs_100_intersection,positive_overlap_vs_100_left_only,positive_overlap_vs_100_reference_only,positive_overlap_vs_100_union,positive_overlap_vs_100_jaccard,positive_overlap_vs_100_retention_vs_reference
100,oilseed-soy,b2,4776,74,0.015494137353433836,c929c2fee19cc1ea38a7db3fad67b2c7f24c42458fbf7670f3806d88cc96ec3a,b58a28adf1c5f88ffdc7e308dafe73f4f2b32812047fc67bb067fa7ad1c0f116,4776,0,0,4776,1.0,1.0,74,0,0,74,1.0,1.0
250,sheep,a,9273,377,0.040655666990186565,a0a51f8e1654ea1e1e65527738de5510381a9a615067b75b8b2a67061ade31b4,34683b0429bc54c2347d1bcce8eb1068018c43943b4503f56a201ec652ec9c6f,8793,480,6360,15633,0.5624640184225677,0.58028113244902,270,107,282,659,0.40971168437025796,0.4891304347826087
250,sheep,b1,136,17,0.125,8a4c92153127b32bda9fdcbce576bb77208b00f0f804b4048b25e9042fb911f9,65d600f99499bd7f27565584e7d1419654efcbbc81982288cf2739dfadee3d47,108,28,26,162,0.6666666666666666,0.8059701492537313,9,8,11,28,0.32142857142857145,0.45
250,sheep,b2,1442,32,0.022191400832177532,25c429a906c5cff61421f9fe9a9945f10cd81c243cf49ef6b13a15a599c5fcce,0c3038ad9954c1defb93fab8860bfc51dffcdc7535540d340003a591158b1e3d,801,641,1198,2640,0.3034090909090909,0.40070035017508754,17,15,29,61,0.2786885245901639,0.3695652173913043
250,cotton,a,84451,2392,0.028324116943553065,065ab1b71723a89ddeca020d630ffafc998d28c36ae6b34b1e01045cf28c8a50,58dcd232645bf0e59cdb7af08deeee8b29d4a2f56554555c041e00c415366bdc,80670,3781,27370,111821,0.7214208422389354,0.7466679007774898,1345,1047,1739,4131,0.32558702493343017,0.4361219195849546
250,cotton,b1,289,23,0.07958477508650519,02d38421ff4fe0411bc5dba7aa6183b00271d8575de495b2be8576384e568f9f,146b5050a1ddd323f4e562e8203e75e426816547f016fdd9e4e82b529183de69,225,64,95,384,0.5859375,0.703125,8,15,28,51,0.1568627450980392,0.2222222222222222
250,cotton,b2,3195,28,0.008763693270735524,b5569fde6a6c60c2483fe5a87439bc977d3941e1297cc6a0ef925214de3f6486,dd41ee7ef6816572d75220938a21abb83b84fb2729ed6192116129922551a795,887,2308,4662,7857,0.11289296169021255,0.1598486213732204,8,20,36,64,0.125,0.18181818181818182
250,aluminium,a,60910,2657,0.04362173698900016,6a0647f15cdd6bf31006cc3b28085d5e9637fa6b3eaf6ded61ef2b625fa183ac,2085cbdd4a0f5de27fe21d06fd4e65faaf1ea97fd5771d5956073cc860f57c0f,58164,2746,23048,83958,0.6927749589080254,0.7161995764172783,1790,867,1697,4354,0.4111162149747359,0.5133352451964439
250,aluminium,b1,338,57,0.16863905325443787,30dae43fb200831cb563378613774c1b15177ae05828d5074f7ec67618719e81,c11e764446d98c093b6c64c88adf0dc6f42ba29442a242c8c16dea9ec47fad5f,282,56,76,414,0.6811594202898551,0.7877094972067039,38,19,34,91,0.4175824175824176,0.5277777777777778
250,aluminium,b2,7124,170,0.02386299831555306,8be4877c3ce09c7d54ff9c45998a8f6291fc08aaf01d65d566f3110be6e6b2e2,9360ed8c275a64d240e91bd4367cf30ab130c3460f0ff4e8cc265e8af3d73e5b,4784,2340,5777,12901,0.3708239671343307,0.452987406495597,112,58,69,239,0.4686192468619247,0.6187845303867403
250,nickel,a,17416,1115,0.06402158934313275,c0bfa1babf0623fffebee29b592ad9a5278d8ee86a20bff6fc7a0571c978a094,350918ec11674d88742a7e99bc9e039843edf7860060a5f67259a1a0ef509705,16401,1015,8244,25660,0.639166017147311,0.6654899573950092,781,334,783,1898,0.41148577449947316,0.4993606138107417
250,nickel,b1,334,59,0.17664670658682635,733dac3c1bb1df3a566551e354b80f356f47e102b42b7910f2d6c7e6072dcb28,6f08bf629a58f17123e7f9f9f30ed59b39f8bb9c7af66816dec3089f6834f06c,293,41,50,384,0.7630208333333334,0.8542274052478134,40,19,26,85,0.47058823529411764,0.6060606060606061
250,nickel,b2,3419,108,0.031588183679438435,d1dd6f35a78766dfe60789b4e9c1ed57688f4455df9f1e25c30c17828fbb818a,837c4893e8c4c0cdd654e7e8c2494cc5d12565ad40bc6f667ab48c71a5def9df,2326,1093,2367,5786,0.40200483926719666,0.49563179203068397,73,35,66,174,0.41954022988505746,0.5251798561151079
250,cocoa,a,35822,1784,0.04980179777790185,9777130fbc23c479383b591a5feb84bd887929807ac37cc72a306fc971b4848e,9639a24946d88a1a2e74b9ed54ee67e50fa1f0f966d68fc89d4dc82298d0f3bc,34142,1680,19884,55706,0.6128962768822029,0.6319549846370266,1112,672,1440,3224,0.34491315136476425,0.43573667711598746
250,cocoa,b1,281,43,0.15302491103202848,f7ea7e7a04571639afb5cf592f550b192445cd248d1279a25e6efff7d1c2e459,f85549fb0f9e712b8f657ab9b39aa4ee15d7f1e8d957f8d4c9255cf3f85d1cb9,234,47,43,324,0.7222222222222222,0.8447653429602888,17,26,25,68,0.25,0.40476190476190477
250,cocoa,b2,5016,73,0.014553429027113238,ff74bfa0dccf1afb04d1060165c29d76719f92320cf04a4247cbc02e5355febe,b818e75fd1149d4ed3f1d6a6d66890eeaae52909a3e8615b82f67ad59379de2d,2072,2944,3783,8799,0.2354813046937152,0.3538855678906917,23,50,49,122,0.1885245901639344,0.3194444444444444
250,oilseed-soy,a,24398,714,0.0292646938273629,336187004e0d14ab02db6b1e83c3959db939f7d567c2d1cdd48fae6394d3ce01,4677a14e17b873c72a4abe74eac2397f1af5418263be01035669353389632f10,23956,442,10592,34990,0.6846527579308374,0.693412064374204,588,126,446,1160,0.506896551724138,0.5686653771760155
250,oilseed-soy,b1,82,34,0.4146341463414634,f834cbd92463d6a025e06d13f928daeff975fa12545ef69457631f033047f351,5f5e1b8b98ce31ec5695a0d12c5f995ec05f8d57da88c5dc573be3686026fffd,56,26,30,112,0.5,0.6511627906976745,17,17,17,51,0.3333333333333333,0.5
250,oilseed-soy,b2,4312,81,0.0187847866419295,b43ed6126f9cb50385856021aa1d78698534c3c8b2d658b8a1c8a331df0fb65c,42e76bc2c9d3025a4e10540b704ab421c9ef808bcfdff170b8cad8569302ab6e,2133,2179,2643,6955,0.30668583752695905,0.44660804020100503,35,46,39,120,0.2916666666666667,0.47297297297297297
