chain,sensitivity,slice,track,model,status,n,positives,clusters_or_entry_groups,primary_metric,primary_value,ci95_low,ci95_high,cluster_unit
oilseed-soy,identity,exporter_unseen,A,gravity,complete,8116,108,26,average_precision,0.053874076303320154,0.035591105360818366,0.07991978326461867,exporter
oilseed-soy,identity,exporter_unseen,A,historical_logistic_size_gravity,complete,8116,108,26,average_precision,0.07736730600748332,0.03732087281528147,0.13598795346970188,exporter
oilseed-soy,identity,exporter_unseen,B1,upstream_capacity,complete,41,16,25,average_precision,0.7697696680236394,0.5099905036896875,0.9057600646174897,exporter
oilseed-soy,identity,exporter_unseen,B1,historical_logistic_structural,complete,41,16,25,average_precision,0.6807150721632474,0.43587370586245333,0.869681058618061,exporter
oilseed-soy,identity,exporter_unseen,B2,processed_importer_demand,complete,2396,38,16,macro_recall_at_3,0.2647569444444444,0.078125,0.5069661458333333,exporter_stage_entry
oilseed-soy,identity,exporter_unseen,B2,gravity,complete,2396,38,16,macro_recall_at_3,0.17256944444444444,0.03871527777777778,0.3160156250000001,exporter_stage_entry
oilseed-soy,identity,exporter_unseen,B2,historical_logistic_demand_gravity,complete,2396,38,16,macro_recall_at_3,0.21475694444444443,0.04415798611111111,0.3976866319444444,exporter_stage_entry
oilseed-soy,identity,importer_seen,A,size,complete,32825,1018,88,average_precision,0.10008590394884971,0.0687993387757475,0.14384032997002824,exporter
oilseed-soy,identity,importer_seen,A,gravity,complete,32825,1018,88,average_precision,0.07793182430021058,0.05571497003665721,0.11101266254540547,exporter
oilseed-soy,identity,importer_seen,A,historical_logistic_size_gravity,complete,32825,1018,88,average_precision,0.09675164306085811,0.06620935082082174,0.13730465268137262,exporter
oilseed-soy,identity,importer_seen,B2,processed_importer_demand,complete,4552,73,34,macro_recall_at_3,0.18341503267973855,0.07661356209150327,0.30107230392156864,exporter_stage_entry
oilseed-soy,identity,importer_seen,B2,gravity,complete,4552,73,34,macro_recall_at_3,0.11846405228758172,0.040032679738562095,0.2215686274509804,exporter_stage_entry
oilseed-soy,identity,importer_seen,B2,historical_logistic_demand_gravity,complete,4552,73,34,macro_recall_at_3,0.15155228758169934,0.053880718954248355,0.25986519607843134,exporter_stage_entry
oilseed-soy,identity,importer_unseen,A,size,complete,1723,16,88,average_precision,0.08863100621945956,0.03467913313260927,0.24389250017837458,exporter
oilseed-soy,identity,importer_unseen,A,gravity,complete,1723,16,88,average_precision,0.15766693997940895,0.0898511531560896,0.32371626411160453,exporter
oilseed-soy,identity,importer_unseen,A,historical_logistic_size_gravity,complete,1723,16,88,average_precision,0.1679485679299989,0.08616189388894095,0.3594408701157422,exporter
oilseed-soy,identity,importer_unseen,B2,processed_importer_demand,complete,9,1,1,macro_recall_at_3,0.0,0.0,0.0,exporter_stage_entry
oilseed-soy,identity,importer_unseen,B2,gravity,complete,9,1,1,macro_recall_at_3,1.0,1.0,1.0,exporter_stage_entry
oilseed-soy,identity,importer_unseen,B2,historical_logistic_demand_gravity,complete,9,1,1,macro_recall_at_3,0.0,0.0,0.0,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_hubs,A,size,complete,29820,862,81,average_precision,0.09997034690910483,0.06679769609236258,0.14394337729658332,exporter
oilseed-soy,entity_exclusion,exclude_hubs,A,gravity,complete,29820,862,81,average_precision,0.07583703554625112,0.04718359054013285,0.10580621468843292,exporter
oilseed-soy,entity_exclusion,exclude_hubs,A,historical_logistic_size_gravity,complete,29820,862,81,average_precision,0.09365477941908246,0.06386580778835454,0.1383774411531716,exporter
oilseed-soy,entity_exclusion,exclude_hubs,B1,upstream_capacity,complete,84,32,49,average_precision,0.5176690476243633,0.36902181777343024,0.7410356135617158,exporter
oilseed-soy,entity_exclusion,exclude_hubs,B1,historical_logistic_structural,complete,84,32,49,average_precision,0.5508921700777606,0.39323766177967845,0.7418245864893678,exporter
oilseed-soy,entity_exclusion,exclude_hubs,B2,processed_importer_demand,complete,4320,68,32,macro_recall_at_3,0.20737847222222222,0.08181640625,0.3650282118055556,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_hubs,B2,gravity,complete,4320,68,32,macro_recall_at_3,0.13940972222222223,0.04372829861111111,0.24800781250000004,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_hubs,B2,historical_logistic_demand_gravity,complete,4320,68,32,macro_recall_at_3,0.17612847222222222,0.07681640625000001,0.3159982638888889,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_bad_iso,A,size,complete,34548,1034,88,average_precision,0.09953003705704509,0.07198244734841723,0.1336311116200668,exporter
oilseed-soy,entity_exclusion,exclude_bad_iso,A,gravity,complete,34548,1034,88,average_precision,0.07806204126982537,0.05567519166553537,0.11100825215501324,exporter
oilseed-soy,entity_exclusion,exclude_bad_iso,A,historical_logistic_size_gravity,complete,34548,1034,88,average_precision,0.09669349555529105,0.07108934470368009,0.14045011670899457,exporter
oilseed-soy,entity_exclusion,exclude_bad_iso,B1,upstream_capacity,complete,86,34,51,average_precision,0.5317008054078485,0.3870245689249381,0.7665195197772201,exporter
oilseed-soy,entity_exclusion,exclude_bad_iso,B1,historical_logistic_structural,complete,86,34,51,average_precision,0.5510724859984112,0.4003224681918504,0.7588311856438733,exporter
oilseed-soy,entity_exclusion,exclude_bad_iso,B2,processed_importer_demand,complete,4776,74,34,macro_recall_at_3,0.18341503267973855,0.08038194444444445,0.30107230392156864,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_bad_iso,B2,gravity,complete,4776,74,34,macro_recall_at_3,0.11552287581699347,0.043100490196078436,0.20678921568627448,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_bad_iso,B2,historical_logistic_demand_gravity,complete,4776,74,34,macro_recall_at_3,0.15008169934640522,0.05516544117647059,0.2456495098039216,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,A,size,complete,29820,862,81,average_precision,0.09997034690910483,0.06823447980772793,0.1420858654354993,exporter
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,A,gravity,complete,29820,862,81,average_precision,0.07583703554625112,0.050926842674184264,0.1040864095614261,exporter
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,A,historical_logistic_size_gravity,complete,29820,862,81,average_precision,0.09365477941908246,0.06408966236844386,0.1343620795716204,exporter
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,B1,upstream_capacity,complete,84,32,49,average_precision,0.5176690476243633,0.3500193603888128,0.7414214789948604,exporter
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,B1,historical_logistic_structural,complete,84,32,49,average_precision,0.5508921700777606,0.41536758122008505,0.7358266510937379,exporter
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,B2,processed_importer_demand,complete,4320,68,32,macro_recall_at_3,0.20737847222222222,0.0905078125,0.33905381944444446,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,B2,gravity,complete,4320,68,32,macro_recall_at_3,0.13940972222222223,0.052239583333333325,0.2548828125,exporter_stage_entry
oilseed-soy,entity_exclusion,exclude_hubs_and_bad_iso,B2,historical_logistic_demand_gravity,complete,4320,68,32,macro_recall_at_3,0.17612847222222222,0.06631727430555556,0.3052213541666667,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_50_kusd,A,size,complete,34548,1318,88,average_precision,0.11398155164850335,0.08272944971407979,0.15098213277304517,exporter
oilseed-soy,threshold_outcome_only,threshold_50_kusd,A,gravity,complete,34548,1318,88,average_precision,0.09701195954297506,0.072603257421691,0.12435649899664633,exporter
oilseed-soy,threshold_outcome_only,threshold_50_kusd,A,historical_logistic_size_gravity,complete,34548,1318,88,average_precision,0.1147128473800307,0.08524079048224718,0.15058993525435863,exporter
oilseed-soy,threshold_outcome_only,threshold_50_kusd,B1,upstream_capacity,complete,86,38,51,average_precision,0.558416635460169,0.40285911053066575,0.7579829635597528,exporter
oilseed-soy,threshold_outcome_only,threshold_50_kusd,B1,historical_logistic_structural,complete,86,38,51,average_precision,0.5873718154338067,0.41927172466184925,0.7556016017512663,exporter
oilseed-soy,threshold_outcome_only,threshold_50_kusd,B2,processed_importer_demand,complete,5365,93,38,macro_recall_at_3,0.17198298777246143,0.09082436204146731,0.2970926368952685,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_50_kusd,B2,gravity,complete,5365,93,38,macro_recall_at_3,0.19464380648591173,0.1012775784157363,0.3077535220627326,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_50_kusd,B2,historical_logistic_demand_gravity,complete,5365,93,38,macro_recall_at_3,0.1873338649654439,0.09647295321637425,0.29102704678362573,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_100_kusd,A,size,complete,34548,1034,88,average_precision,0.09953003705704509,0.06783176936206115,0.14405337614766986,exporter
oilseed-soy,threshold_outcome_only,threshold_100_kusd,A,gravity,complete,34548,1034,88,average_precision,0.07806204126982537,0.05582621729456039,0.10781794608903388,exporter
oilseed-soy,threshold_outcome_only,threshold_100_kusd,A,historical_logistic_size_gravity,complete,34548,1034,88,average_precision,0.09669349555529105,0.06959286518003101,0.1354254434174417,exporter
oilseed-soy,threshold_outcome_only,threshold_100_kusd,B1,upstream_capacity,complete,86,34,51,average_precision,0.5317008054078485,0.34503272543489916,0.7336925738281993,exporter
oilseed-soy,threshold_outcome_only,threshold_100_kusd,B1,historical_logistic_structural,complete,86,34,51,average_precision,0.5510724859984112,0.41271964545168294,0.7477106903351463,exporter
